TDS,Uranium,Bicarbonate
682.65,0.9315,0
819.12,1.938,0
303.76,0.2919,0
1151.4,11.9042,0
582.42,1.5674,0
1043.39,2.0623,0
634.84,3.8858,0
1087.25,0.9772,0
1123.51,1.9354,0
688.09,0.4367,0
1174.54,10.1142,0
599.5,0.7551,0
1240.81,6.8559,0
538.35,0.4806,0
607.75,1.1452,0
705.89,6.0876,0
1290.57,10.8823,0
526.09,0.1473,0
784.68,2.6741,0
953.14,3.0918,0
1149.31,0.7592,0
1074.22,3.7101,0
1116.59,7.2446,0
301.2,5.7129,1
265.45,4.7366,1
295.88,2.8057,1
442.36,5.629,1
342.71,3.095,1
361.3,3.5774,1
262.07,1.7711,1
546.22,11.2724,1
273.89,4.9807,1
281.38,4.0833,1
588.86,14.6342,1
574.11,12.3835,1
307.09,1.5291,1
409.37,4.4647,1
327.07,2.4574,1
425.69,6.3042,1
310.05,4.5441,1
289.75,0.9672,1
408.18,2.1568,1
383.04,8.381,1
255.19,2.7957,1
