Year,Temp,CO2,CH4,sunspot,volcanic,,,,,,,,,,,,,,
1880,-0.225,290.7,908,32.2416666666667,0,,,,,,,,,,,,,,
1881,-0.204,291.2,909,54.3083333333333,0,,,,,,,,,,,,,,
1882,-0.212,291.7,910,59.6083333333333,0,,,,,,,,,,,,,,
1883,-0.29,292.1,911,63.6333333333333,0.0572,,,,,,,,,,,,,,
1884,-0.403,292.6,913,63.5083333333333,0.0897,,,,,,,,,,,,,,
1885,-0.385,293,914,51.9583333333333,0.0138,,,,,,,,,,,,,,
1886,-0.369,293.3,915,25.425,0.0339,,,,,,,,,,,,,,
1887,-0.42,293.6,916,13.05,0.0322,,,,,,,,,,,,,,
1888,-0.314,293.8,918,6.75,0.0036,,,,,,,,,,,,,,
1889,-0.178,294,918,6.21666666666667,0.0019,,,,,,,,,,,,,,
1890,-0.422,294.2,919,7.05,0.0031,,,,,,,,,,,,,,
1891,-0.342,294.3,920,35.625,0.0128,,,,,,,,,,,,,,
1892,-0.461,294.5,920,72.9416666666667,0.009,,,,,,,,,,,,,,
1893,-0.476,294.6,921,85.0833333333333,0.0047,,,,,,,,,,,,,,
1894,-0.411,294.7,936,78.0083333333333,0.0007,,,,,,,,,,,,,,
1895,-0.396,294.8,938,63.9666666666667,0.0005,,,,,,,,,,,,,,
1896,-0.194,294.9,940,41.8083333333333,0.0011,,,,,,,,,,,,,,
1897,-0.214,295,941,26.2416666666667,0.0001,,,,,,,,,,,,,,
1898,-0.414,295.2,943,26.7166666666667,0.0041,,,,,,,,,,,,,,
1899,-0.293,295.5,945,12.1083333333333,0.0014,,,,,,,,,,,,,,
1900,-0.201,295.8,946,9.45833333333333,0.0027,,,,,,,,,,,,,,
1901,-0.268,296.1,952,2.74166666666667,0.0021,,,,,,,,,,,,,,
1902,-0.412,296.5,956,5.05,0.0112,,,,,,,,,,,,,,
1903,-0.481,296.8,959,24.3833333333333,0.0478,,,,,,,,,,,,,,
1904,-0.528,297.2,962,41.95,0.0092,,,,,,,,,,,,,,
1905,-0.383,297.6,965,63.4666666666667,0.0032,,,,,,,,,,,,,,
1906,-0.293,298.1,969,53.8583333333333,0.0049,,,,,,,,,,,,,,
1907,-0.474,298.5,972,62.0333333333333,0.0078,,,,,,,,,,,,,,
1908,-0.522,298.9,977,48.5416666666667,0.0055,,,,,,,,,,,,,,
1909,-0.537,299.3,982,43.8833333333333,0,,,,,,,,,,,,,,
1910,-0.497,299.7,986,18.5833333333333,0.0008,,,,,,,,,,,,,,
1911,-0.553,300.1,991,5.7,0.0664,,,,,,,,,,,,,,
1912,-0.448,300.4,996,3.59166666666667,0.0161,,,,,,,,,,,,,,
1913,-0.438,300.8,1001,1.44166666666667,0.012,,,,,,,,,,,,,,
1914,-0.256,301.1,1006,9.59166666666667,0.0048,,,,,,,,,,,,,,
1915,-0.163,301.4,1008,47.3666666666667,0.0055,,,,,,,,,,,,,,
1916,-0.397,301.7,1011,57.0666666666667,0.004,,,,,,,,,,,,,,
1917,-0.477,302.1,1014,103.891666666667,0.0016,,,,,,,,,,,,,,
1918,-0.342,302.4,1021,80.575,0.0036,,,,,,,,,,,,,,
1919,-0.282,302.7,1027,63.6083333333333,0.0072,,,,,,,,,,,,,,
1920,-0.25,303,1034,37.6416666666667,0.0014,,,,,,,,,,,,,,
1921,-0.192,303.4,1041,26.1333333333333,0.0012,,,,,,,,,,,,,,
1922,-0.309,303.8,1047,14.2416666666667,0.0052,,,,,,,,,,,,,,
1923,-0.275,304.1,1054,5.775,0.0031,,,,,,,,,,,,,,
1924,-0.3,304.5,1061,16.7166666666667,0.0104,,,,,,,,,,,,,,
1925,-0.219,305,1067,44.3083333333333,0.0106,,,,,,,,,,,,,,
1926,-0.112,305.4,1074,63.8833333333333,0.0126,,,,,,,,,,,,,,
1927,-0.213,305.8,1078,69.0416666666667,0.0029,,,,,,,,,,,,,,
1928,-0.213,306.3,1081,77.8,0.0036,,,,,,,,,,,,,,
1929,-0.353,306.8,1084,64.8583333333333,0.0028,,,,,,,,,,,,,,
1930,-0.141,307.2,1087,35.725,0.0002,,,,,,,,,,,,,,
1931,-0.089,307.7,1090,21.225,0.0075,,,,,,,,,,,,,,
1932,-0.137,308.2,1096,11.1416666666667,0.0005,,,,,,,,,,,,,,
1933,-0.274,308.6,1102,5.65833333333333,0.0025,,,,,,,,,,,,,,
1934,-0.13,309,1107,8.71666666666667,0.0028,,,,,,,,,,,,,,
1935,-0.176,309.4,1118,36.0333333333333,0.0058,,,,,,,,,,,,,,
1936,-0.145,309.8,1129,79.7333333333333,0.0021,,,,,,,,,,,,,,
1937,-0.028,310,1133,114.4,0.0335,,,,,,,,,,,,,,
1938,-0.006,310.2,1137,109.55,0.0043,,,,,,,,,,,,,,
1939,-0.056,310.3,1140,88.75,0.0054,,,,,,,,,,,,,,
1940,0.017,310.4,1144,67.7833333333333,0.0004,,,,,,,,,,,,,,
1941,0.017,310.4,1143,47.4833333333333,0.005,,,,,,,,,,,,,,
1942,-0.025,310.3,1153,30.6,0.0035,,,,,,,,,,,,,,
1943,-0.002,310.2,1160,16.325,0.0968,,,,,,,,,,,,,,
1944,0.147,310.1,1167,9.59166666666667,0.0499,,,,,,,,,,,,,,
1945,0.033,310.1,1166,33.0916666666667,0.0012,,,,,,,,,,,,,,
1946,-0.069,310.1,1166,92.5083333333333,0.0033,,,,,,,,,,,,,,
